"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.014732333E0,-7.222405076E-1,2.162938356E0,1.913764358E0,2.976982986E0
2.024718333E0,-8.727524281E-1,3.057040453E0,1.834345460E0,3.670424553E0
2.034703333E0,-1.010547519E0,3.754320621E0,1.663948178E0,4.229048730E0
2.044689333E0,-1.122158170E0,4.120966434E0,1.423793316E0,4.502087373E0
2.054675333E0,-1.173657656E0,4.210850716E0,1.166642785E0,4.524355361E0
2.064661333E0,-1.125600696E0,4.127468586E0,9.546079636E-1,4.383406235E0
2.074646333E0,-9.570495486E-1,4.100093365E0,8.900148273E-1,4.303351697E0
2.084632333E0,-6.515323520E-1,4.192614555E0,9.214010835E-1,4.341830394E0
2.094618333E0,-5.509396642E-2,4.711863995E0,7.424106002E-1,4.770311431E0
2.104603333E0,8.531962633E-1,5.229237556E0,3.125579953E-1,5.307594727E0
2.114589333E0,1.811077476E0,5.247187614E0,-5.092088506E-2,5.551177571E0
2.124575333E0,2.682543993E0,5.103637695E0,-1.378274560E-1,5.767335295E0
2.134561333E0,3.439628363E0,4.999807358E0,-1.066737920E-1,6.069637237E0
2.144546333E0,4.087629318E0,4.915001392E0,-1.087458730E-1,6.393573163E0
2.154532333E0,4.615837574E0,4.846463680E0,-2.729516029E-1,6.698407967E0
2.164518333E0,5.010055542E0,4.535317898E0,-6.692038178E-1,6.790993942E0
2.174503333E0,5.029331207E0,3.431039333E0,-1.520824790E0,6.275277790E0
2.184489333E0,4.425916195E0,1.078511834E0,-2.690954685E0,5.290856174E0
2.194475333E0,3.869166374E0,-8.427951932E-1,-3.399394035E0,5.218872673E0
2.204460333E0,3.365363598E0,-2.298491240E0,-3.797592402E0,5.570497480E0
2.214446333E0,2.765921831E0,-3.539059162E0,-4.031805038E0,6.035786212E0
2.224432333E0,2.074867725E0,-4.564396858E0,-4.080863953E0,6.464692209E0
2.234418333E0,1.324720979E0,-5.510787010E0,-3.932542801E0,6.898445624E0
2.244403333E0,6.041664481E-1,-6.261491299E0,-3.629788399E0,7.262689185E0
2.254389333E0,-2.202318516E-3,-6.694531918E0,-3.234480619E0,7.434959806E0
2.264375333E0,-8.818504214E-1,-4.748583317E0,-2.948378563E0,5.658589916E0
2.274360333E0,-1.312831640E0,-2.912068367E0,-2.764161348E0,4.224246329E0
2.284346333E0,-1.520562291E0,-9.640716314E-1,-2.442849636E0,3.034643000E0
2.294332333E0,-1.785371542E0,6.179914474E-1,-1.981342673E0,2.737733325E0
2.304318333E0,-2.239063740E0,1.759110451E0,-1.323712349E0,3.140078087E0
2.314303333E0,-2.949851513E0,2.542756081E0,-6.325394511E-1,3.945546678E0
2.324289333E0,-3.739482164E0,3.136145353E0,-1.543073058E-1,4.882923845E0
2.334275333E0,-4.544795990E0,3.411290169E0,1.540129632E-2,5.682632172E0
2.344260333E0,-5.351270676E0,3.412142754E0,-2.404963821E-1,6.351114432E0
2.354246333E0,-5.950548172E0,3.241392612E0,-8.776824474E-1,6.832713670E0
2.364232333E0,-6.147760868E0,2.976570845E0,-1.294494390E0,6.952025130E0
2.374218333E0,-5.996297359E0,2.498518705E0,-1.171211004E0,6.600750939E0
2.384203333E0,-5.573476791E0,2.094019175E0,-8.510928154E-1,6.014392640E0
2.394189333E0,-5.011422157E0,1.995796323E0,-8.827833533E-1,5.465973056E0
2.404175333E0,-4.521449566E0,1.662260175E0,-1.652509570E0,5.092877668E0
2.414160333E0,-4.068789482E0,7.294453979E-1,-2.525196075E0,4.843939890E0
2.424146333E0,-3.486723185E0,-8.056009561E-2,-2.903752327E0,4.538227195E0
2.434132333E0,-2.831800461E0,-6.179607511E-1,-2.969110727E0,4.149287632E0
2.444117333E0,-2.340745687E0,-1.121101499E0,-2.929226160E0,3.913607650E0
2.454103333E0,-2.204379082E0,-1.645734072E0,-2.869364738E0,3.975044877E0
2.464089333E0,-2.407796860E0,-2.112476110E0,-2.770593166E0,4.235118361E0
2.474075333E0,-2.849848747E0,-2.449505568E0,-2.594623089E0,4.566594396E0
2.484060333E0,-3.377211094E0,-2.663942814E0,-2.415817261E0,4.933388199E0
2.494046333E0,-3.685497999E0,-2.698162317E0,-2.285065889E0,5.107298847E0
2.504032333E0,-3.533927441E0,-2.443190575E0,-2.146082878E0,4.802446778E0
2.514017333E0,-2.940359592E0,-2.052345991E0,-2.029831409E0,4.120443441E0
2.524003333E0,-2.061657667E0,-1.532935977E0,-1.883396506E0,3.185515256E0
2.533989333E0,-1.194635987E0,-1.095919251E0,-1.622631788E0,2.293714906E0
2.543975333E0,-5.675374866E-1,-9.693980813E-1,-1.288774848E0,1.709611666E0
2.553960333E0,-1.010811105E-1,-1.030967474E0,-9.455463290E-1,1.402558086E0
2.563946333E0,3.295354545E-1,-1.102398038E0,-6.076090336E-1,1.301177846E0
2.573932333E0,7.273062468E-1,-1.171880126E0,-3.080763817E-1,1.413219184E0
2.583917333E0,1.062685728E0,-1.197855115E0,-7.416703552E-2,1.603015465E0
2.593903333E0,1.279933929E0,-1.149744749E0,4.606962577E-2,1.721123546E0
2.603889333E0,1.390087485E0,-9.662733078E-1,4.041408002E-2,1.693416848E0
2.613874333E0,1.466614485E0,-6.451823711E-1,-3.250193968E-2,1.602583762E0
2.623860333E0,1.504271030E0,-3.217561841E-1,-1.112772077E-1,1.542316761E0
2.633846333E0,1.484834552E0,-5.776128918E-2,-1.862489283E-1,1.497584280E0
2.643832333E0,1.426301837E0,1.648218483E-1,-2.592903674E-1,1.459018391E0
2.653817333E0,1.359878063E0,3.355645537E-1,-3.095562160E-1,1.434467486E0
2.663803333E0,1.307088494E0,4.466986656E-1,-3.422993720E-1,1.423091315E0
2.673789333E0,1.286056757E0,5.274536610E-1,-3.690651953E-1,1.438178871E0
2.683774333E0,1.303781986E0,6.066514254E-1,-4.119155407E-1,1.495843519E0
2.693760333E0,1.376289725E0,7.237396836E-1,-4.562699497E-1,1.620541516E0
2.703746333E0,1.516651392E0,8.896331191E-1,-4.817135632E-1,1.823109017E0
2.713732333E0,1.696341276E0,1.051346660E0,-4.595305026E-1,2.047943311E0
2.723717333E0,1.862552166E0,1.114563942E0,-3.988780975E-1,2.206911210E0
2.733703333E0,1.969935060E0,1.061817646E0,-3.261666000E-1,2.261522828E0
2.743689333E0,1.988487840E0,9.087875485E-1,-2.683880925E-1,2.202728051E0
2.753674333E0,1.935487986E0,7.048608065E-1,-2.561798990E-1,2.075709671E0
2.763660583E0,1.849028945E0,5.389222503E-1,-2.856330574E-1,1.947031452E0
2.773646583E0,1.772270799E0,4.430433810E-1,-3.266265690E-1,1.855779119E0
2.783631583E0,1.736083031E0,4.256711900E-1,-3.437235355E-1,1.820254411E0
2.793617583E0,1.742371321E0,5.403218865E-1,-3.446439207E-1,1.856498045E0
2.803603583E0,1.794805169E0,6.343397498E-1,-2.805632651E-1,1.924169498E0
2.813589583E0,1.856246471E0,5.979708433E-1,-1.647823304E-1,1.957133953E0
2.823574583E0,1.956772923E0,4.902157187E-1,-9.439808130E-2,2.019451094E0
2.833560583E0,2.110341072E0,3.048250973E-1,-9.593019634E-2,2.134399303E0
2.843546583E0,2.322526455E0,1.249486133E-1,-1.763473600E-1,2.332560756E0
2.853531583E0,2.575785160E0,-1.961949654E-2,-2.820799351E-1,2.591259000E0
2.863517583E0,2.875249386E0,-6.014588475E-2,-4.168317914E-1,2.905929335E0
2.873503583E0,3.131635904E0,-9.886611253E-2,-4.329273999E-1,3.162964445E0
2.883488583E0,3.267769098E0,-5.450890586E-2,-3.389962912E-1,3.285757840E0
2.893474583E0,3.338716745E0,1.386216097E-2,-2.297917753E-1,3.346643979E0
2.903460583E0,3.387747049E0,2.289130688E-1,-1.498329639E-1,3.398776424E0
2.913446583E0,3.418083668E0,5.178162456E-1,-8.751766384E-2,3.458191574E0
2.923431583E0,3.420766592E0,8.957884312E-1,3.419015557E-2,3.536276284E0
